Timestamp,12inchCTR Soil Moisture %,12inchFFR Soil Moisture %,6inchCTR Soil Moisture %,6InchFFR Soil Moisture %
6/1/22 0:00,38.7,30.2,36.7,25.1
6/1/22 0:05,38.7,30.2,36.5,25.1
6/1/22 0:10,38.7,30.2,36.5,25.1
6/1/22 0:15,38.7,30.2,36.5,25.1
6/1/22 0:20,38.7,30.2,36.7,25.1
6/1/22 0:25,38.7,30.2,36.5,25.1
6/1/22 0:30,38.7,30.2,36.7,25.1
6/1/22 0:35,38.7,30.2,36.7,25.2
6/1/22 0:40,38.7,30.2,36.7,25.1
6/1/22 0:45,38.7,30.2,36.7,25.4
6/1/22 0:50,38.7,30.1,36.7,25.3
6/1/22 0:55,38.7,30.2,36.7,25.2
6/1/22 1:00,38.7,30.2,36.7,24.9
6/1/22 1:05,38.7,30.2,36.5,25.2
6/1/22 1:10,38.7,30.2,36.7,25.2
6/1/22 1:15,38.7,30.2,36.7,25.3
6/1/22 1:20,38.7,30.2,36.5,25.1
6/1/22 1:25,38.7,30.2,36.7,25.1
6/1/22 1:30,38.7,30.2,36.7,25.1
6/1/22 1:35,38.7,30.3,36.5,25.1
6/1/22 1:40,38.7,30.3,36.7,25.4
6/1/22 1:45,38.7,30.3,36.7,25.1
6/1/22 1:50,38.7,30.1,36.7,25.4
6/1/22 1:55,38.7,30.3,36.7,25
6/1/22 2:00,38.7,30.3,36.5,25.3
6/1/22 2:05,38.7,30.3,36.7,25.3
6/1/22 2:10,38.7,30.3,36.5,25.3
6/1/22 2:15,38.7,30.3,36.5,25.4
6/1/22 2:20,38.7,30.3,36.7,25.3
6/1/22 2:25,38.7,30.3,36.7,25.3
6/1/22 2:30,38.7,30.3,36.7,25.3
6/1/22 2:35,38.7,30.3,36.7,25.3
6/1/22 2:40,38.7,30.3,36.7,25.3
6/1/22 2:45,38.7,30.3,36.7,25.3
6/1/22 2:50,38.7,30.3,36.5,25.3
6/1/22 2:55,38.7,30.3,36.7,25.3
6/1/22 3:00,38.7,30.3,36.7,25.3
6/1/22 3:05,38.7,30.3,36.7,25.3
6/1/22 3:10,38.7,30.3,36.7,25.3
6/1/22 3:15,38.7,30.3,36.7,25.3
6/1/22 3:20,38.7,30.3,36.7,25.3
6/1/22 3:25,38.7,30.3,36.7,25.3
6/1/22 3:30,38.7,30.3,36.7,25.3
6/1/22 3:35,38.7,30.3,36.7,25.3
6/1/22 3:40,38.7,30.3,36.7,25.3
6/1/22 3:45,38.7,30.1,36.5,25.3
6/1/22 3:50,38.7,30.1,36.7,25.3
6/1/22 3:55,38.7,30.3,36.7,25.3
6/1/22 4:00,38.7,30.3,36.5,25.3
6/1/22 4:05,38.7,30.3,36.7,25.3
6/1/22 4:10,38.7,30.3,36.7,25.3
6/1/22 4:15,38.7,30.3,36.7,25.3
6/1/22 4:20,38.7,30.1,36.7,25.3
6/1/22 4:25,38.7,30.3,36.5,25.3
6/1/22 4:30,38.7,30.3,36.7,25.2
6/1/22 4:35,38.7,30.1,36.7,25.2
6/1/22 4:40,38.7,30.3,36.5,25.2
6/1/22 4:45,38.7,30.3,36.7,25.2
6/1/22 4:50,38.7,30.3,36.7,25.3
6/1/22 4:55,38.7,30.3,36.7,25.3
6/1/22 5:00,38.7,30.3,36.7,25.3
6/1/22 5:05,38.7,30.1,36.7,25.3
6/1/22 5:10,38.7,30.3,36.5,25.3
6/1/22 5:15,38.7,30.1,36.5,25.3
6/1/22 5:20,38.7,30.1,36.7,25.3
6/1/22 5:25,38.7,30.1,36.7,25.3
6/1/22 5:30,38.7,30.1,36.7,25.3
6/1/22 5:35,38.7,30.2,36.7,25.3
6/1/22 5:40,38.7,30.1,36.7,25.3
6/1/22 5:45,38.7,30.2,36.7,25.3
6/1/22 5:50,38.7,30.3,36.7,25.3
6/1/22 5:55,38.7,30.1,36.7,25.3
6/1/22 6:00,38.7,30.2,36.5,25.3
6/1/22 6:05,38.7,30.2,36.7,25.3
6/1/22 6:10,38.7,30.2,36.7,25.3
6/1/22 6:15,38.7,30.1,36.5,25.3
6/1/22 6:20,38.7,30.2,36.5,25.3
6/1/22 6:25,38.7,30.2,36.7,25.2
6/1/22 6:30,38.7,30.2,36.5,25.3
6/1/22 6:35,38.7,30.1,36.7,25.3
6/1/22 6:40,38.7,30.2,36.5,25.3
6/1/22 6:45,38.7,30.1,36.7,25.6
6/1/22 6:50,38.7,30.2,36.7,25.3
6/1/22 6:55,38.7,30.1,36.7,25.5
6/1/22 7:00,38.7,30.2,36.5,25.5
6/1/22 7:05,38.7,30.1,36.5,25.5
6/1/22 7:10,38.7,30.3,36.7,25.5
6/1/22 7:15,38.7,30.2,36.5,25.5
6/1/22 7:20,38.7,30.2,36.5,25.5
6/1/22 7:25,38.7,30.3,36.5,25.5
6/1/22 7:30,38.7,30.1,36.5,25.5
6/1/22 7:35,38.7,30.3,36.7,25.5
6/1/22 7:40,38.7,30.1,36.5,25.5
6/1/22 7:45,38.7,30.2,36.5,25.5
6/1/22 7:50,38.7,30.1,36.7,25.5
6/1/22 7:55,38.7,30.2,36.5,25.5
6/1/22 8:00,38.7,30.5,36.7,25.5
6/1/22 8:05,38.7,30.5,36.7,25.5
6/1/22 8:10,38.7,30.2,36.7,25.5
6/1/22 8:15,38.7,30.2,36.7,25.5
6/1/22 8:20,38.7,30.1,36.7,25.5
6/1/22 8:25,38.7,30.2,36.5,25.5
6/1/22 8:30,38.7,30.3,36.5,25.5
6/1/22 8:35,38.7,30.3,36.7,25.5
6/1/22 8:40,38.7,30.1,36.5,25.5
6/1/22 8:45,38.7,30.5,36.5,25.5
6/1/22 8:50,38.7,30.1,36.5,25.5
6/1/22 8:55,38.7,30.1,36.7,25.5
6/1/22 9:00,38.7,30.2,36.5,25.3
6/1/22 9:05,38.7,30.1,36.5,25.3
6/1/22 9:10,38.7,30.2,36.5,25.3
6/1/22 9:15,38.7,30.2,36.5,25.3
6/1/22 9:20,38.7,30.1,36.5,25.3
6/1/22 9:25,38.7,30.1,36.5,25.3
6/1/22 9:30,38.7,30.2,36.7,25.4
6/1/22 9:35,38.7,30.2,36.5,25.4
6/1/22 9:40,38.7,30.2,36.5,25.4
6/1/22 9:45,38.7,30.2,36.5,25.4
6/1/22 9:50,38.4,30.2,36.5,25.1
6/1/22 9:55,38.7,30.2,36.6,25.4
6/1/22 10:00,38.7,30.2,36.5,25.2
6/1/22 10:05,38.7,30.3,36.6,25.2
6/1/22 10:10,38.4,30.2,36.5,25.2
6/1/22 10:15,38.4,30.3,36.5,25.2
6/1/22 10:20,38.4,30.3,36.6,25.2
6/1/22 10:25,38.4,30.3,36.5,25.3
6/1/22 10:30,38.4,30.3,36.8,25.3
6/1/22 10:35,38.4,30.3,36.6,25.2
6/1/22 10:40,38.4,30.3,36.5,25.1
6/1/22 10:45,38.4,30.3,36.5,25.1
6/1/22 10:50,38.4,30.3,36.8,25.1
6/1/22 10:55,38.4,30.3,36.5,25.1
6/1/22 11:00,38.4,30.3,36.3,25.1
6/1/22 11:05,38.4,30.3,36.6,25.2
6/1/22 11:10,38.4,30.3,36.6,25.2
6/1/22 11:15,38.4,30.3,36.5,25.2
6/1/22 11:20,38.4,30.3,36.6,25.2
6/1/22 11:25,38.4,30.3,36.5,25.2
6/1/22 11:30,38.4,30.3,36.5,24.9
6/1/22 11:35,38.4,30.3,36.7,24.9
6/1/22 11:40,38.4,30.3,36.6,25
6/1/22 11:45,38.4,30.3,36.5,25
6/1/22 11:50,38.4,30.3,36.5,25
6/1/22 11:55,38.4,30.3,36.3,25
6/1/22 12:00,38.4,30.3,36.5,25
6/1/22 12:05,38.4,30.3,36.3,24.8
6/1/22 12:10,38.4,30.3,36.6,24.8
6/1/22 12:15,38.4,30.3,36.3,24.8
6/1/22 12:20,38.4,30.3,36.5,24.8
6/1/22 12:25,38.4,30.3,36.3,24.8
6/1/22 12:30,38.4,30.3,36.7,24.9
6/1/22 12:35,38.4,30.3,36.3,25
6/1/22 12:40,38.4,30.3,36.5,25
6/1/22 12:45,38.4,30.3,36.3,24.7
6/1/22 12:50,38.4,30.3,36.5,24.7
6/1/22 12:55,38.4,30,36.5,24.8
6/1/22 13:00,38.4,30.3,36.3,24.8
6/1/22 13:05,38.6,30.3,36.3,24.8
6/1/22 13:10,38.4,30.1,36.5,24.8
6/1/22 13:15,38.4,30.1,36.5,24.5
6/1/22 13:20,38.4,30,36.5,24.6
6/1/22 13:25,38.6,30,36.2,24.6
6/1/22 13:30,38.6,30,36.5,24.6
6/1/22 13:35,38.6,30.1,36.5,24.6
6/1/22 13:40,38.4,30,36.7,24.7
6/1/22 13:45,38.6,30.1,36.4,24.7
6/1/22 13:50,38.4,30.1,36.4,24.4
6/1/22 13:55,38.4,30,36.5,24.4
6/1/22 14:00,38.4,30.1,36.5,24.4
6/1/22 14:05,38.3,30.1,36.5,24.6
6/1/22 14:10,38.4,30.1,36.5,24.5
6/1/22 14:15,38.4,30.1,36.6,24.5
6/1/22 14:20,38.4,30.1,36.4,24.6
6/1/22 14:25,38.2,30.1,36.4,24.4
6/1/22 14:30,38.3,30.1,36.4,24.4
6/1/22 14:35,38.3,30.1,36.6,24.4
6/1/22 14:40,38.2,30.1,36.4,24.4
6/1/22 14:45,38.2,30.1,36.6,24.4
6/1/22 14:50,38.3,30.1,36.4,24.4
6/1/22 14:55,38.2,30.1,36.4,24.5
6/1/22 15:00,38.2,30.1,36.4,24.2
6/1/22 15:05,38.4,30.1,36.5,24.3
6/1/22 15:10,38.3,29.8,36.4,24.3
6/1/22 15:15,38.2,29.8,36.5,24.3
6/1/22 15:20,38.4,29.9,36.5,24.3
6/1/22 15:25,38.4,29.9,36.5,24.3
6/1/22 15:30,38.2,29.9,36.5,24
6/1/22 15:35,38.4,29.9,36.5,24.1
6/1/22 15:40,38.4,29.9,36.5,24.1
6/1/22 15:45,38.4,29.9,36.5,24.1
6/1/22 15:50,38.4,29.9,36.5,24.1
6/1/22 15:55,38.4,29.9,36.5,24.1
6/1/22 16:00,38.4,29.9,36.5,24.1
6/1/22 16:05,38.4,29.9,36.5,24.1
6/1/22 16:10,38.4,29.9,36.5,24.3
6/1/22 16:15,38.4,29.9,36.2,24.3
6/1/22 16:20,38.4,29.9,36.5,24.3
6/1/22 16:25,38.4,29.9,36.2,24.3
6/1/22 16:30,38.4,30,36.5,24.1
6/1/22 16:35,38.4,29.9,36.5,24.1
6/1/22 16:40,38.4,30,36.2,24.1
6/1/22 16:45,38.4,30.1,36.5,24.1
6/1/22 16:50,38.4,29.8,36.2,24.1
6/1/22 16:55,38.4,29.8,36.2,24.1
6/1/22 17:00,38.4,29.8,36.2,24.1
6/1/22 17:05,38.4,29.8,36.2,24.1
6/1/22 17:10,38.4,29.8,36.2,23.9
6/1/22 17:15,38.4,29.8,36.2,23.9
6/1/22 17:20,38.4,29.8,36.2,24.1
6/1/22 17:25,38.4,29.8,36.2,23.9
