Timestamp,12_in_ Moisture%,18_in_ Moisture%, 24_in_ Moisture%, 6_in_Moisture%
7/16/22 0:00,35,29.6,31.6,37.2
7/16/22 0:15,35.3,29.6,31.6,37.2
7/16/22 0:30,35.3,29.6,31.2,37.2
7/16/22 0:45,34.4,29.6,31.2,37.2
7/16/22 1:00,35.3,30.2,31.2,37.5
7/16/22 1:15,34.4,29.6,31.6,37.5
7/16/22 1:30,35.3,29.6,31.2,37.5
7/16/22 1:45,35.3,29.6,31.2,37.5
7/16/22 2:00,35.3,30.2,31.2,37.8
7/16/22 2:15,35.3,29.6,31.2,37.8
7/16/22 2:30,34.4,29.6,31.2,36.8
7/16/22 2:45,35.3,29.6,31.6,36.8
7/16/22 3:00,35.3,29.6,31.2,36.8
7/16/22 3:15,34.4,29.6,31.6,37.1
7/16/22 3:30,34.4,29.6,31.6,37.1
7/16/22 3:45,35.3,29.6,31.6,37.1
7/16/22 4:00,35.3,29.6,31.6,37.1
7/16/22 4:15,34.4,29.6,31.6,37.1
7/16/22 4:30,34.4,30.2,31.6,37.1
7/16/22 4:45,35.3,29.6,31.6,37.1
7/16/22 5:00,34.4,29.6,31.6,37.1
7/16/22 5:15,34.4,29.6,31.6,37.4
7/16/22 5:30,34.4,30.2,31.6,37.4
7/16/22 5:45,34.4,29.6,31.2,37.4
7/16/22 6:00,34.4,29.6,31.2,37.4
7/16/22 6:15,34.4,29.6,31.6,37.4
7/16/22 6:30,34.4,29.6,31.6,37.4
7/16/22 6:45,34.4,29.6,31.6,36.5
7/16/22 7:00,34.4,29.6,31.6,36.5
7/16/22 7:15,35.3,29.6,31.6,36.8
7/16/22 7:30,34.4,29.6,31.6,36.8
7/16/22 7:45,34.7,29.6,31.2,36.8
7/16/22 8:00,34.4,29.6,31.6,36.8
7/16/22 8:15,34.7,30.2,31.6,37.1
7/16/22 8:30,34.7,29.8,31.6,37.1
7/16/22 8:45,34.7,29.8,31.6,37.1
7/16/22 9:00,34.7,29.8,31.6,37.1
7/16/22 9:15,34.7,29.8,31.6,36.2
7/16/22 9:30,34.7,29.8,31.6,36.7
7/16/22 9:45,34.7,29.8,31.6,37
7/16/22 10:00,34.7,29.8,31.2,37.1
7/16/22 10:15,35.3,29.8,31.6,42.6
7/16/22 10:30,35.3,29.8,31.6,43.5
7/16/22 10:45,37,29.8,31.6,43.5
7/16/22 11:00,37.7,29.8,31.2,43.5
7/16/22 11:15,37.7,29.6,31.6,43.5
7/16/22 11:30,38,29.6,31.6,43.1
7/16/22 11:45,37.7,29.6,31.6,42.8
7/16/22 12:00,37.7,30.2,31.6,42.8
7/16/22 12:15,38.2,29.6,31.6,43.5
7/16/22 12:30,37.8,30.2,31.6,43.5
7/16/22 12:45,38.2,30.2,31.6,43.2
